Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
14,10,2022,15,55,44,BEG,2.99,13,4.34,NF,23,13,11,6,1,0,0,0,0,14,0,0,13,0,0,2,1,741,10,11
14,10,2022,15,57,16,BEG,2.61,9,3.44,NF,20,23,7,4,0,0,0,0,0,12,0,0,11,0,0,3,4,689,9,9
14,10,2022,15,57,35,BEG,2.72,8,2.94,NF,21,21,9,2,0,1,0,0,0,13,0,0,10,0,0,2,2,625,8,8
14,10,2022,15,58,2,BEG,4.83,13,2.69,NF,21,20,10,1,2,0,0,0,0,21,0,0,14,0,0,2,2,1253,11,12
14,10,2022,15,58,14,BEG,3.79,14,3.69,NF,23,15,11,3,2,0,0,0,0,15,0,0,14,0,0,2,2,817,11,11
14,10,2022,15,58,20,BEG,3.35,13,3.88,NF,20,23,8,3,0,0,0,0,0,14,0,0,13,0,0,2,3,854,10,11
14,10,2022,15,58,25,BEG,2.87,7,2.43,NF,23,14,12,2,3,0,0,0,0,11,0,0,9,0,0,3,3,874,7,7
14,10,2022,15,58,37,BEG,3.70,16,4.32,NF,17,22,10,5,0,0,0,0,0,17,0,0,16,0,0,3,2,849,13,14
14,10,2022,15,58,55,BEG,3.76,10,2.65,NF,20,20,10,2,2,0,0,0,0,17,0,0,15,0,0,4,2,834,10,10
14,10,2022,15,59,8,BEG,3.93,15,3.81,NF,19,24,8,2,0,1,0,0,0,20,0,0,18,0,0,2,2,854,12,13
14,10,2022,15,59,31,BEG,5.25,18,3.42,NF,15,28,8,2,1,0,0,0,0,24,0,0,21,0,0,2,2,1174,13,13
14,10,2022,15,59,40,BEG,6.74,25,3.70,NF,15,23,14,2,0,0,0,0,0,31,0,0,28,0,0,3,3,1313,17,19
14,10,2022,15,59,45,BEG,4.03,14,3.47,NF,20,20,10,4,0,0,0,0,0,20,0,0,15,0,0,2,2,687,10,12
14,10,2022,16,0,4,BEG,5.24,19,3.62,NF,17,21,9,7,0,0,0,0,0,23,0,0,21,0,0,2,3,806,13,16
14,10,2022,16,0,9,BEG,2.48,8,3.22,NF,24,14,11,3,2,0,0,0,0,12,0,0,9,0,0,3,4,739,8,8
14,10,2022,16,0,21,BEG,3.21,13,4.04,NF,25,15,12,2,0,0,0,0,0,15,0,0,13,0,0,1,1,725,9,11
14,10,2022,16,0,59,BEG,4.51,11,2.43,NF,20,17,13,3,1,0,0,0,0,19,0,0,14,0,0,4,3,902,10,11
14,10,2022,16,1,22,BEG,2.54,10,3.93,NF,22,19,10,3,0,0,0,0,0,11,0,0,10,0,0,1,4,776,9,9
14,10,2022,16,1,35,BEG,3.37,12,3.56,NF,19,14,19,2,0,0,0,0,0,14,0,0,13,0,0,1,3,931,11,11
14,10,2022,16,1,45,BEG,3.35,13,3.88,NF,23,14,8,7,2,0,0,0,0,14,0,0,13,0,0,2,3,727,13,13
14,10,2022,16,1,53,BEG,2.68,9,3.35,NF,22,18,11,3,0,0,0,0,0,12,0,0,11,0,0,4,3,717,9,9
14,10,2022,16,2,14,BEG,2.81,12,4.27,NF,18,21,9,5,1,0,0,0,0,12,0,0,12,0,0,2,4,791,12,12
14,10,2022,16,3,6,BEG,4.66,11,2.36,NF,19,23,9,3,0,0,0,0,0,21,0,0,17,0,0,3,1,898,9,9
14,10,2022,16,3,13,BEG,3.29,9,2.73,NF,26,14,6,7,1,0,0,0,0,13,0,0,11,0,0,3,3,665,9,9
